epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9313,1.15218,5.40462,1.441,0.00353,0.23502,0.08716,0.02221,2.13953,12.0158,3.25373,0.000324561,0.000324561,0.0678684
2,113.711,1.14469,3.4359,1.42841,0.78866,0.29514,0.31317,0.1648,1.66139,7.68259,2.13229,0.000636184,0.000636184,0.0348467
3,170.224,1.08916,3.09456,1.36633,0.8793,0.34697,0.38955,0.22357,1.59678,6.49417,1.92026,0.000925807,0.000925807,0.001803
4,226.578,1.02008,2.78088,1.34144,0.84849,0.30476,0.33888,0.17244,1.72337,7.00628,2.20887,0.000901,0.000901,0.000901
5,283.726,0.99067,2.69576,1.32905,0.88974,0.26183,0.32235,0.19291,1.62947,7.66023,2.03495,0.000868,0.000868,0.000868
6,340.389,0.95773,2.62598,1.29391,0.88735,0.33625,0.39346,0.2672,1.4257,6.08972,1.81268,0.000835,0.000835,0.000835
7,396.884,0.93857,2.37497,1.27779,0.86499,0.34543,0.37358,0.22769,1.49817,6.54375,1.90006,0.000802,0.000802,0.000802
8,453.333,0.89462,2.28759,1.21967,0.93911,0.41798,0.45714,0.31288,1.32326,5.21046,1.64105,0.000769,0.000769,0.000769
9,509.96,0.8585,2.15451,1.19622,0.95042,0.40852,0.44896,0.31566,1.34395,5.2598,1.65417,0.000736,0.000736,0.000736
10,566.468,0.84655,2.04893,1.21108,0.92199,0.38398,0.41826,0.29609,1.38617,5.93257,1.74916,0.000703,0.000703,0.000703
11,623.069,0.8077,2.01848,1.1889,0.90768,0.42114,0.44185,0.3067,1.30086,4.98531,1.57214,0.00067,0.00067,0.00067
12,679.617,0.82418,2.01242,1.19526,0.95083,0.41941,0.46563,0.32289,1.30903,5.09387,1.63524,0.000637,0.000637,0.000637
13,735.923,0.8022,1.90026,1.16642,0.92783,0.4653,0.48104,0.3486,1.17657,4.53573,1.54411,0.000604,0.000604,0.000604
14,792.426,0.78461,1.95065,1.15827,0.94674,0.43663,0.479,0.34782,1.20993,4.79742,1.58241,0.000571,0.000571,0.000571
15,848.891,0.75754,1.90028,1.15365,0.93636,0.43257,0.45744,0.32528,1.24941,4.99319,1.62137,0.000538,0.000538,0.000538
16,905.143,0.74588,1.76292,1.14408,0.92474,0.45396,0.4705,0.34818,1.17388,4.75922,1.5297,0.000505,0.000505,0.000505
17,961.46,0.72412,1.66971,1.1258,0.94687,0.44637,0.48873,0.36777,1.14951,4.65962,1.52475,0.000472,0.000472,0.000472
18,1018.14,0.68714,1.65545,1.10306,0.93636,0.44637,0.48468,0.35669,1.16233,4.61115,1.54014,0.000439,0.000439,0.000439
19,1074.52,0.72505,1.66179,1.11834,0.94815,0.43849,0.47307,0.3555,1.18424,4.86307,1.54988,0.000406,0.000406,0.000406
20,1131.04,0.67321,1.56233,1.10135,0.94995,0.43533,0.47271,0.35479,1.15355,4.82854,1.51118,0.000373,0.000373,0.000373
21,1186.91,0.57527,1.59354,1.05417,0.93884,0.40741,0.44799,0.33434,1.18102,5.07628,1.56575,0.00034,0.00034,0.00034
22,1242.38,0.55822,1.37607,1.0363,0.937,0.43762,0.4738,0.35268,1.1711,4.71104,1.56279,0.000307,0.000307,0.000307
23,1298.04,0.52762,1.31236,0.99075,0.9498,0.42744,0.47339,0.36481,1.10342,4.73066,1.50686,0.000274,0.000274,0.000274
24,1353.57,0.49729,1.22178,0.99318,0.94004,0.42114,0.45162,0.35276,1.11801,4.91059,1.50081,0.000241,0.000241,0.000241
25,1409.65,0.49045,1.17652,0.98991,0.96361,0.42198,0.47091,0.36696,1.10066,4.64445,1.47994,0.000208,0.000208,0.000208
26,1466.19,0.47856,1.11436,0.9746,0.94024,0.44479,0.47708,0.36808,1.09033,4.4999,1.47066,0.000175,0.000175,0.000175
27,1521.83,0.45504,1.11349,0.97524,0.94112,0.44907,0.4799,0.37587,1.07826,4.49607,1.45784,0.000142,0.000142,0.000142
28,1577.52,0.46489,1.06059,0.96916,0.92302,0.46057,0.4782,0.37876,1.0688,4.52206,1.46131,0.000109,0.000109,0.000109
29,1633.06,0.43369,1.02405,0.9436,0.96928,0.4164,0.47607,0.37861,1.06902,4.58908,1.45978,7.6e-05,7.6e-05,7.6e-05
30,1688.53,0.43333,0.98846,0.947,0.96889,0.41798,0.47826,0.37995,1.06107,4.55427,1.45913,4.3e-05,4.3e-05,4.3e-05
